1. A) ఎఫెసు, B) కొరింథు, C) అంతియొకయ, D) గలతీయ (B)
91. A) ఒక్కసారి, B) ఇరుమారు, C) ఏడుసార్లు, D) ముమ్మారు (D)
92. A) బబులోను, B) యెరూషలేము, C) సమరయ, D) నజరేతు (B)
93. A) మధ్యాహ్నం వరకు, B) అర్ధరాత్రి వరకు, C) సూర్యుడు అస్తమించువరకు, D) మరుసటి రోజు వరకు (C)
94. A) నీవు చనిపోవుదువు, B) నీ దేవుడే నిన్ను రక్షించును, C) నీ జ్ఞానము నిన్ను రక్షించును, D) నిన్ను ఎవరు రక్షించలేరు (B)
95. A) ఇనుప తలుపుతో, B) ఒక రాయి తీసికొని వచ్చి, C) కట్టెలతో, D) మట్టితో (B)
96. A) విందు చేసి సంతోషముగా ఉండెను, B) ఉపవాసముండి నిద్రలేక ఉండెను, C) సైన్యముతో యుద్ధమునకు వెళ్లెను, D) సుఖముగా నిద్రించెను (B)
97. A) కోప స్వరముతో, B) సంతోష స్వరముతో, C) గంభీర స్వరముతో, D) దుఃఖ స్వరముతో (D)
98. A) ఒక ప్రవక్తను, B) ఒక వేటగాడిని, C) తన దూతను, D) దానియేలు స్నేహితులను (C)
99. A) సింహాలకు ఆకలి లేనందున, B) రాజు రక్షించినందున, C) గుహ పెద్దదిగా ఉన్నందున, D) తన దేవుని యందు భక్తిగలవాడైనందున (D)
100. A) అగ్నిగుండములో, B) కారాగారములో, C) సింహముల గుహలో, D) అగాధములో (C)
101. A) బెత్లెహేములో, B) హెబ్రోనులో, C) యెరూషలేములో, D) గిబియాలో (B)
102. A) సొలొమోను, B) అబ్షాలోము, C) అమ్నోను, D) అదోనీయా (C)
103. A) అబీగయీలు, B) అహీనోయము, C) బత్షెబా, D) మయకా (B)
104. A) యెజ్రెయేలీయురాలు, B) గిలాడీయురాలు, C) కర్మెలీయురాలు, D) మోయాబీయురాలు (A)
105. A) షెఫట్య, B) కిల్యాబు, C) ఇత్రెయాము, D) నాథాను (B)
106. A) మీకాలు, B) అబీటలు, C) ఎగ్లా, D) అబీగయీలు (D)
107. A) నాబాలు, B) ఊరియా, C) ఇష్బోషెతు, D) అబ్నేరు (A)
108. A) తిష్బీయుడు, B) బెత్లెహేమీయుడు, C) కర్మెలీయుడు, D) గิబియోనీయుడు (C)
109. A) షిమ్యా, B) అబ్షాలోము, C) షోబాబు, D) సమూయేలు (B)
110. A) హగ్గీతు, B) అబీటలు, C) మయకా, D) ఎగ్లా (C)
111. A) హాముల్, B) തల్మయి, C) నాహాషు, D) కీషు (B)
112. A) ఎదోము, B) సిరియా, C) గెషూరు, D) ఫిలిష్తియ (C)
113. A) ఇత్రెయాము, B) షెఫట్య, C) కిల్యాబు, D) అదోనీయా (D)
114. A) అహీనోయము, B) హగ్గీతు, C) అబీగయీలు, D) బత్షెబా (B)
115. A) నాథాను, B) ఇత్రెయాము, C) షెఫట్య, D) అమ్నోను (C)
116. A) మయకా, B) అబీటలు, C) ఎగ్లా, D) మీకాలు (B)
117. A) సొలొమోను, B) కిల్యాబు, C) ఇత్రెయాము, D) అబ్షాలోము (C)
118. A) అహీనోయము, B) హగ్గీతు, C) అబీగయీలు, D) ఎగ్లా (D)
119. A) దాసియగు, B) భార్యయగు, C) చెల్లెలగు, D) ఉపపత్నియగు (B)
120. A) పన్నెండుమంది, B) ఆరుగురు, C) నలుగురు, D) పదిమంది (B)
121. A) యోనాతానును, B) దావీదును, C) గొల్యాతును, D) శామ్యుయేలును (B)
122. A) మధ్యాహ్నమున, B) రాత్రివేళ, C) ఉదయమున, D) సాయంకాలమున (C)
123. A) అరణ్యమునకు, B) సమాజమందిరమునకు, C) అతని యింటికి, D)  బెత్లెహేమునకు (C)
124. A) రూతు, B) మీకాలు, C) దెబోరా, D) ఎస్తేరు (B)
125. A) సమూయేలు, B) సౌలు, C) అబ్నేరు, D) యీషయి (B)
126. A) ధనమును, B) రాజ్యమును, C) ప్రాణమును, D) గొర్రెలను (C)
127. A) అగగు, B) అకీషు, C) నెబుకద్నెజరు, D) సౌలు (D)
128. A) రాహాబు, B) మీకాలు, C) యాయేలు, D) సారమ్మ (B)
129. A) ప్రాకారము గుండా, B) కిటికీగుండ, C) ద్వారము గుండా, D) సొరంగము గుండా (B)
130. A) దొరికిపోయెను, B) తప్పించుకొని పారిపోయెను, C) యుద్ధము చేసెను, D) దాక్కునెను (B)
131. A) సైన్యాధిపతులు, B) దాసులు, C) దూతలు, D) స్నేహితులు (C)
132. A) బంధించవలెనని, B) చంపవలెనని, C) విందునకు పిలవవలెనని, D) దేశమునుండి వెళ్లగొట్టవలెనని (B)
133. A) రేపు ఉదయం, B) మరుసటి వారం, C) ఈ రాత్రి, D) వచ్చే శనివారం (C)
134. A) మధ్యాహ్నము, B) వచ్చే నెల, D) రేపు, D) వెంటనే (C)
135. A) పైకప్పు, B) కిటికీ, C) వీధి తలుపు, D) పెరటి ద్వారము (B)
136. A) మేరబు, B) అత్ల్యా, C) వష్తి, D) మీకాలు (D)
137. A) బహుమతి ఇచ్చుటకై, B) దావీదును పట్టుకొనుటకై, C) సమాచారం తెలుసుకొనుటకై, D) క్షేమసమాచారం అడుగుటకై (B)
138. A) నెమ్మదిగా నడచివెళ్లెను, B) రథము మీద వెళ్లెను, C) పారిపోయెను, D) సైన్యముతో వెళ్లెను (C)
139. A) యోనాతాను మీద, B) సమూయేలు మీద, C) గొల్యాతు మీద, D) దావీదు మీద (D)
140. A) మధ్యాహ్న కాలము, B) వేకువజాము, C) రాత్రి వేళ, D) సాయంత్రం (C)
141. A) దేవుని ఆత్మ, B) దేవునియొద్దనుండి దురాత్మ, C) శత్రువుల సైన్యము, D) భయంకరమైన వ్యాధి (B)
142. A) సితారా, B) తంబుర, C) వీణ, D) బాక (C)
143. A) ఖడ్గము, B) ఒక ఈటె, C) విల్లు-అంబులు, D) గొడ్డలి (B)
144. A) నేలకు, B) సింహాసనమునకు, C) మంచమునకు, D) గోడకు (D)
145. A) ఒక మారు, B) రెండు मారులు, C) మూడు మారులు, D) నాలుగు మారులు (B)
146. A) సమూయేలును, B) యోనాతానును, C) సౌలును, D) అబ్నేరును (C)
147. A) కోపపడెను, B) భయపడెను, C) సంతోషించెను, D) పగబట్టెను (B)
148. A) శతాధిపతిగా, B) ప్రధానమంత్రిగా, C) సహస్రాధిపతిగా, D) సైన్యాధిపతిగా (C)
149. A) మూర్ఖత్వముతో, B) గర్వముతో, C) సుబుద్ధిగలిగి, D) భయముతో (C)
150. A) చాలా సంతోషించెను, B) మరి యధికముగా భయపడెను, C) అతనిని ప్రశంసించెను, D) పదవి నుండి తొలగించెను (B)
151. A) ద్వేషించిరి, B) తృణీకరించిరి, C) ప్రేమించిరి, D) వెలివేసిరి (C)
152. A) మోయాబీయుల చెయ్యి, B) అమాలేకీయుల చెయ్యి, C) ఫిలిష్తీయుల చెయ్యి, D) సిరియనుల చెయ్యి (C)
153. A) చిన్నకుమార్తెయైన మీకాలును, B) పెద్దకుమార్తెయైన మేరబును, C) అత్ల్యాను, D) యెజెబెలును (B)
154. A) తన సొంత యుద్ధములను, B) రాజు యుద్ధములను, C) యెహోవా యుద్ధములను, D) ఇశ్రాయేలు యుద్ధములను (C)
155. A) యోనాతానుతో, B) జనులతో, C) సౌలుతో, D) సమూయేలుతో (C)
156. A) నాబాలుకి, B) అద్రీయేలుకి, C) బార్జిల్లనుకి, D) కిష్షుకి (B)
157. A) కర్మెలీయుడు, B) గిలాడీయుడు, C) మెహోలతీయుడు, D) బెత్లెహేమీయుడు (C)
158. A) మేరబు, B) షెలోమీతు, C) మీకాలు, D) తిర్సా (C)
159. A) దుఃఖపడెను, B) ఆశ్చర్యపడెను, C) సంతోషించెను, D) ఆగ్రహించెను (C)
160. A) సౌలు, B) యోనాతాను, C) ఇశ్రాయేలీయులు, D) యెహోవా (D)
161. A) ఐగుప్తురాజు, B) మోయాబురాజు, C) సిరియారాజు, D) బబులోనురాజు (C)
162. A) ఏలీయా, B) సమూయేలు, C) ఎలీషా, D) యෙසైయా (C)
163. A) యూదా రాజునకు, B) ఇశ్రాయేలు రాజునకు, C) సిరియా రాజునకు, D) ఫిలిష్తీయుల రాజునకు (B)
164. A) నవ్వుకొనెను, B) కల్లోలపడెను, C) పారిపోయెను, D) శాంతించెను (B)
165. A) ప్రధానమంత్రి, B) ఒక వేగులవాడు, C) ప్రవక్తయగు ఎలీషా, D) ఒక దాసుడు (C)
166. A) యెరికోలో, B) షోమ్రోనులో, C) દોతానులో, D) గిల్గాలులో (C)
167. A) ఒంటెలను, గాడిదలను, B) గుఱ్ఱములను, రథములను, C) సైనికులను, బంటులను, D) ఏనుగులను, ఈటెలను (B)
168. A) మధ్యాహ్న కాలమున, B) ఉదయకాలమున, C) సాయంత్రము, D) రాత్రివేళ (D)
169. A) మనము పారిపోదాము, B) భయపడవద్దు, C) దేవుడు మనలను విడిచెను, D) యుద్ధము చేయుము (B)
170. A) తక్కువగా ఉన్నారు, B) అధికులై యున్నారు, C) బలహీనులై ఉన్నారు, D) జ్ఞానులై ఉన్నారు (B)
171. A) ఇశ్రాయేలు రాజును, B) దేవదూతను, C) యెహోవాను, D) సిరియా రాజును (C)
172. A) పొగమంచుతో, B) శత్రువుల సైన్యముతో, C) అగ్ని గుఱ్ఱములను, రథములను, D) అడవి జంతువులతో (C)
173. A) తెగులుతో, B) అంధత్వముతో, C) మరణముతో, D) పిడుగులతో (B)
174. A) દોతాను, B) యెరూషలేము, C) షోమ్రోను, D) గిల్గాలు (C)
175. A) యెరికో, B) బేతేలు, C) గాజా, D) షోమ్రోను (D)
176. A) సిరియా రాజు, B) ఇశ్రాయేలు రాజు, C) ఎలీషా పనివాడు, D) యూదా రాజు (B)
177. A) విషము, B) భోజనము, C) బహుమతులు, D) బంధకములు (B)
178. A) అరణ్యమునకు, B) ఐగుప్తునకు, C) తమ యజమానుని యొద్దకు, D) చెరసాలకు (C)
179. A) కొద్దిపాటి, B) విస్తారమైన, C) చేదైన, D) పాతదైన (B)
180. A) ఫిలిష్తీయుల, B) అమాలేకీయుల, C) సిరియనుల, D) మోయాబీయుల (C)
181. A) షోమ్రోనునకు, B) బేతేలునకు, C) యెరూషలేమునకు, D) దానను పట్టణమునకు (B)
182. A) ప్రార్థన చేయుచుండెను, B) బలి అర్పించుచుండెను, C) ధూపము వేయుచుండెను, D) ఏడ్చుచుండెను (C)
183. A) హిజ్కియా, B) మనష్షే, C) యోషీయా, D)  యెహోయాకీము (C)
184. A) దేవాలయ గోడ, B) రాజు సింహాసనము, C) బలిపీఠము, D) బంగారు దూడ (C)
185. A) విరిగిపోయెను, B) ఎండిపోయెను, C) లావాయెను, D) మాయమాయెను (B)
186. A) యరొబామును, B) ముసలి ప్రవక్తను, C) యెహోవాను, D) దేవదూతను (C)
187. A) భూములను, B) పదవిని, C) వెండి బంగారములను, D) బహుమతి (D)
188. A) నిద్రపోవద్దని, మాట్లాడవద్దని, B) అన్నపానములు, C) ప్రార్థన చేయవద్దని, బలి అర్పించవద్దని, D) రాజును చూడవద్దని, కూర్చోవద్దని (B)
189. A) అరణ్య మార్గమున, B) రాజమార్గమున, C) వచ్చిన మార్గమున, D) కొండ మార్గమున (C)
190. A) యంగ్ ప్రవక్తకు, B) ముసలి ప్రవక్తకు, C) ప్రధాన ప్రవక్తకు, D) అబద్ధ ప్రవక్తకు (B)
191. A) ఒలీవ వృక్షము, B) మస్తకివృక్షము, C) అంజూరపు వృక్షము, D) దేవదారు వృక్షము (B)
192. A) రాజు రమ్మన్నాడని, B) దేవదూత చెప్పెనని, C) వర్షం వస్తుందని, D) తన భార్య పిలిచిందని (B)
193. A) రాజు ఆజ్ఞను, B) పెద్దల పద్ధతిని, C) యెహోవా ఆజ్ఞను, D) మోషే ధర్మశాస్త్రమును (C)
194. A) యూదా దైవజనునికి, B) రాజునకు, C) ప్రవక్త కుమారులకు, D) ముసలి ప్రవక్తకు (D)
195. A) బేతేలు పట్టణములోనికి, B) పิตరుల సమాధిలోనికి, C) యెరూషలేము క్షేత్రములోనికి, D) రాజు సముఖములోనికి (B)
196. A) ఒక ఎలుగుబంటి, B) ఒక సింహము, C) ఒక తోడేలు, D) ఒక పాము (B)
197. A) గుర్రము, B) ఒంటె, C) గాడిద, D) ఎద్దు (C)
198. A) బట్టలను, సంచిని, B) కట్టెలను, రొట్టెను, C) శవమును, గాడిదను, D) నీళ్ల బుడ్లను, కర్రను (C)
199. A) అరణ్యములో, B) నదిలో, C) తన సమాధిలో, D) గుహలో (C)
200. A) తండ్రియా, B) ప్రవక్తా, C) స్నేహితుడా, D) సహోదరుడా (D)
201. A) హనన్య, B) దెలాయ్యా, C) సంబల్లటు, D) టోబీయా (B)
202. A) నెహెమ్యా, B) మల్కీయా, C) మెహేతబేలు, D)  ఎలియాషీబు (C)
203. A) రోగియాయెను, B) నిర్బంధింపబడెను, C) చనిపోయెను, D) పారిపోయెను (B)
204. A) మధ్యాహ్నమందు, B) ప్రాతఃకాలమందు, C) రాత్రికాలమందు, D) సాయంత్రము (C)
205. A) రాజు కోటలోకి, B) ప్రాకారముపైకి, C) దేవుని మందిర గర్భాలయములోకి, D) పట్టణపు గుమ్మములోనికి (C)
206. A) జ్ఞానముగల, B) నావంటి, C) బలహీనుడైన, D) సామాన్య (B)
207. A) నెహెమ్యా తన ఇంట్లో, B) రాజనగరులో, C) గర్భాలయమున, D) శత్రువుల గుడారములో (C)
208. A) చాలారోజుల తర్వాత, B) రాజు చెప్పినప్పుడు, C) ప్రార్థన చేసినప్పుడు, D) తేటగ కనుగొన్నప్పుడు (D)
209. A) గేషెము, సాన్సరు, B) టోబీయా, సన్బల్లటు, C) హనానీ, ఎలియాషీబు, D) దోయేగు, అబ్నేరు (B)
210. A) చెరసాలలో, B) గోతిలో, C) పాపములో, D) అపనిందలో (C)
211. A) మంచివార్త, B) చెడువార్త, C) దేవునివార్త, D) యుద్ధవార్త (B)
212. A) సహాయము చేసిరి, B) అప్పు ఇచ్చిరి, C) లంచమిచ్చిరి, D) జీతమిచ్చిరి (C)
213. A) దెబోరా, B) నోవద్యా, C) హుల్దా, D) అన్న (B)
214. A) అర్తహషస్త రాజును, B) ఇశ్రాయేలు పెద్దలను, C) నా దేవా / దేవుని, D) లేవీయులను (C)
215. A) ధైర్యము, B) భయము, C) సంతోషము, D) జ్ఞానము (B)
216. A) గోడ కట్టకముందు, B) ఉదయకాలమున, C) అటుతరువాత / ఆ సంగతులు జరిగిన తరువాత, D) రాజు అనుమతి పొందాక (C)
217. A) కిరీటము, B) భరణము, C) నింద, D) నేరము (C)
218. A) రాజు సైన్యము, B) దొంగలు, C) అడవి జంతువులు, D) శత్రువులు/వారు (D)
219. A) రాజు ద్రాక్షారసమును, B) గర్భాలయమున ప్రవేశించుటను, C) గోడ కట్టుటను, D) లంచము పుచ్చుకొనుటను (B)
220. A) ఫరో మరియు ఐగుప్తీయుల నుండి, B) టోబీయా మరియు సన్బల్లటు, C) హామును మరియు అతని కుమారుల నుండి, D) గొల్యాతు మరియు ఫిలిష్తీయుల నుండి (B)
221. A) పొంతు, B) ఐగుప్తు, C) సమరయ, D) మాసిదోనియ (C)
222. A) గొప్ప ఆస్తిని, B) సమాధానము, C) శ్రమలను, D) సందిగ్ధతను (B)
223. A) రోమా అధికారులయందు, B) అపొస్తలులయందు, C) ప్రభువునందు, D) ప్రధానయాజకునియందు (C)
224. A) ధనము ద్వారా, B) రాజుల దయ ద్వారా, C) పరిశుద్ధాత్మ, D) ధర్మశాస్త్రము ద్వారా (C)
225. A) వ్యాపారము, B) సంచారము, C) ప్రార్థన, D) నివాసము (B)
226. A) యొప్పెలో, B) కైసరయలో, C) లుద్దలో, D) దమస్కులో (C)
227. A) తబితా, B) కొర్నేలియు, C) ఐనెయ, D) సీమోను (C)
228. A) కుష్ఠురోగము, B) పక్షవాయువు, C) గుడ్డితనము, D) జ్వరము (B)
229. A) ఐదేండ్లు, B) పన్నెండేండ్లు, C) ఎనిమిది ఏండ్లు, D) ముప్పై ఎనిమిది ఏండ్లు (C)
230. A) పేతురు, B) యేసు క్రీస్తు, C) యెహోవా, D) దేవదూత (B)
231. A) బట్టలు, B) ఇల్లు, C) చాప, D) పరుపు (D)
232. A) మరుసటి రోజు, B) కొద్దిసేపటి తర్వాత, C) వెంటనే, D) నడుచుకుంటూ (C)
233. A) పేతురు తట్టు, B) ప్రభువు తట్టు, C) సమాజమందిరము తట్టు, D) తమ ఇళ్ల తట్టు (B)
234. A) యొప్పెలో ఉన్నవారు, B) షారోనులో ఉన్నవారు, C) సమరయలో ఉన్నవారు, D) గలిలయలో ఉన్నవారు (B)
235. A) అన్యుల యొద్దకు, B) పరిసయ్యుల యొద్దకు, C) పరిశుద్ధుల యొద్దకు, D) తన కుటుంబము యొద్దకు (C)
236. A) ప్రసంగము చేసెను, B) పరుగెత్తెను, C) లేచెను, D) కేకలు వేసెను (C)
237. A) నెమ్మదిగా, B) ఆగిపోతూ, C) క్షేమాభివృద్ధి, D) శారీరకముగా (C)
238. A) నేల మీద, B) గుమ్మము వద్ద, C) మంచము మీద, D) వీధిలో (C)
239. A) పౌలు, B) యోహాను, C) ఫిలిప్పు, D) పేతురు (D)
240. A) మోషే నామమున, B) పేతురు సొంత నామమున, C) యేసు క్రీస్తు నామమున, D) అబ్రాహాము నామమున (C)
241. A) తలుపును, B) పైకప్పును, C) కిటికీని, D) రంధ్రమును (C)
242. A) పావురమును, B) కాకిని, C) గువ్వను, D) గద్దను (B)
243. A) పిచ్చుకను, B) కోడిని, C) పావురమును, D) నెమలిని (C)
244. A) పచ్చని, B) తెల్లని, C) ఎర్రని నూలునూలు, D) నల్లని (C)
245. A) గుమ్మము, B) గోడ, C) మంచము, D) కిటికీ (D)
246. A) కోట ప్రాకారము, B) వెనుక తలుపు, C) কিటికీగుండ, D) పైకప్పు (C)
